intervention_size,intervention_type,model,network_group,network_id,network_size,sample_id,size_of_spread,time_to_spread
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,0.0,2204.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,1.0,2160.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,2.0,2205.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,3.0,2208.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,4.0,2197.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,5.0,2200.0,5.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,6.0,2209.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,7.0,2193.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,8.0,2121.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,9.0,2181.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,10.0,2200.0,5.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,11.0,2206.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,12.0,2187.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,13.0,2133.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,14.0,2155.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,15.0,2109.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,16.0,2206.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,17.0,2213.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,18.0,2210.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,19.0,2205.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,20.0,2179.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,21.0,2203.0,5.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,22.0,2177.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,23.0,2200.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,24.0,2198.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,25.0,2166.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,26.0,2213.0,5.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,27.0,2191.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,28.0,2202.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,29.0,2185.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,30.0,2199.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,31.0,2198.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,32.0,2106.0,4.0
0.0,none,"(0.05,1)",fb100_edgelist_,Bowdoin47,2250.0,33.0,2204.0,4.0
